,passage,questions,answers
241,"The Adventures of Tintin is a 2011 Belgian-French 3D computer-animated action adventure film based on The Adventures of Tintin, the comics series by Belgian cartoonist Hergé. Directed by Steven Spielberg and produced by Peter Jackson, it was initially released in December 2011. 
"," Was the movie directed by Steven Spielberg? 
", True
242,"The euro (sign: €; code: EUR) is the official currency of 19 of the 28 member states of the European Union. This group of states is known as the eurozone or euro area, and counts about 343 million citizens as of 2019. The euro was introduced to world financial markets as an accounting currency in 1999, and physical coins and banknotes entered circulation in 2002, making it by far the most traded currency in global foreign exchange markets with a market share exceeding 80%.
"," Is Germany a part og Eurozone? 
",- True
243,"Noah Galloway (born October 28, 1981) is an American veteran of the Iraq War, a motivational speaker, author and model. He was severely wounded in 2005 during his second deployment to Iraq when his Humvee hit an improvised explosive device (IED). As a result he lost his left arm above the elbow and his left leg above the knee.
"," Is Noah Galloway missing both arms? 
", False
244,"The word apostle comes from the Greek word apostolos which means ""a messenger, one who is sent"". The purpose of an apostle was to be a chief missionary; they were responsible for spreading the message of Christianity. After Jesus' crucifixion and resurrection, he commissioned his apostles to go out into the world and spread his teachings. 
"," Was the term 'apostle' only used for those chosen by Jesus? 
", True
245,"
Incest laws are designed to protect against sexual abuse and exploitation by prohibiting sexual relations between family members who are closely related. These laws vary from country to country, but typically prohibit sexual relations between immediate relatives (such as siblings or parents and children) or between first cousins. In some jurisdictions, incestuous relationships are also prohibited between more distant relatives, such as second cousins.

"," Is it legal to have a sexual relationship with your first cousin in all countries? 
", False
246,"The Paradise is a British television costume drama series set in late 19th-century England. It was shown on BBC One from 25 September to 27 October 2013. The nine-part series, inspired by Émile Zola's 1883 novel Au Bonheur des Dames, follows the lives of employees working in Miss Audrey's department store known as ""The Paradise"". 
"," Is The Paradise based on a book? 
", True
247,"The National Park Service (NPS) manages 37 national parks and monuments, as well as several other conservation and historical properties in New York. The state of New York is home to four major types of protected areas managed by the NPS: national parks, national historic sites, national battlefields/parks, andnational recreation areas.
"," 
Is New York home to any National Parks? 
", True
248,"Boyz n the Hood is a 1991 American hood drama film directed by John Singleton and written by Singleton and Clyde Phillips. It stars Cuba Gooding Jr., Morris Chestnut, Laurence Fishburne, Nia Long, Regina King, and Ice Cube. The film follows three young men in South Central Los Angeles as they begin to realize that life will never be the same after high school graduation. 
"," Is Boyz n the Hood a true story?
", False
249,"
1. Sarnath Lion Capital of Ashoka is the National Emblem of India. It was adopted on 26 January 1950, the day that India became a republic. The capital features four Asiatic lions standing back-to-back, symbolizing power, courage and pride; however some claim that each lion represents an ancient ""continents"" Asia, Europe & Africa (with Sri Lanka as part of it). A wheel appearing in relief below the abacus has 24 spokes representing Dharma Chakra or ""the Wheel of Law"". 
2. The motto inscribed below the emblem in Devanagari script is Satyameva Jayate सत्यमेव जाना:ت (""Truth Alone Triumphs""). This phrase comes from Mundaka Upanishad verse 3/1/6 and means truth conquers all things by its purity alone just like fire burns anything impure coming into contact with it without being affected itself
"," Is 'Satyameva jayate' written in devanagiri font? 
", True
250,"
Electrical tape, also known as insulating tape or insulation tape, is a type of pressure-sensitive adhesive tapes used to insulate electrical wires and other materials that conduct electricity. It is widely used in the electronics industry for applications such as bundling cables, color-coding of audio signals, and identifying phases in motor leads.

"," Is electrical tape made from rubber? 
", False
251,"White blood cells (WBCs), also called leukocytes or leucocytes, are the colorless blood cells that do not contain hemoglobin. They protect the body against infection and disease by ingesting foreign materials, producing antibodies, and destroying cancerous cells. There are five main types of white blood cells: neutrophils, lymphocytes, monocytes/macrophages, eosinophils & basophils. 
"," Do white blood cell help to protect our body? 
", True
252," Hunting is a popular pastime in Australia. Many people go hunting for deer, pigs, rabbits, and other animals. Some people also hunt for birds. 
"," Is it legal to hunt in Australia? 
", True
253,"The Affair is an American television drama series created by Sarah Treem and Hagai Levi. The series premiered on Showtime on October 12, 2014.[1] It explores the emotional effects of an extramarital relationship between Noah Solloway (Dominic West) and Alison Lockhart (Ruth Wilson) after they meet in Montauk, New York. 
"," Does the show premiere on october 12th ? 
", True
254,"Marsupials are any members of the mammalian infraorder Metatheria (sometimes called Ameridelphia), which comprises a diverse group of about 5,260 species in 305 genera that are native to Australia, New Guinea, Indonesia, and the Americas. Close to 70% of all marsupial species occur in Australia alone. Marsupials represent the clade originating from the last common ancestor of extant metatherians. Their appearance is similar to placental mammals—the largest group of mammals by far—but differs from them in some notable ways; for instance most have notably less developed brains than their non-marsupial cousins do
"," Do marsupials live only on australia? 
", False
255,"I was crossing the street when I saw a car coming. I tried to get out of the way, but it was too late. The car hit me and knocked me down.
"," 
Was the driver able to avoid hitting you?
", False
256,"Spike, also known as William the Bloody because of his bloody and violent nature, is a fictional character created by Joss Whedon for the television series Buffy the Vampire Slayer and Angel. He was originally portrayed by American actor James Marsters and appeared in both shows from 1997 to 2004.
"," 
Is Spike a vampire? 
", True
257,"500 Days of Summer is a 2009 American romantic comedy-drama film by first time director Marc Webb from a screenplay written by Scott Neustadter and Michael H. Weber, and produced by Mark Waters. The film stars Joseph Gordon-Levitt and Zooey Deschanel, and employs a nonlinear narrative structure, with the story based upon its male protagonist's memories during his relationship with summer (Deschanel).
"," 
500 days of summer is about two people in love?
", False
258,"A peripherally inserted central catheter (PICC or PIC line), less commonly called a percutaneous indwelling central catheter, is a form of intravenous access that can be used for short- to long-term venous therapy.
"," 
A peripherally inserted central catheter is also known as a PIC line. 
", True
259,"The atomic mass (ma) is the mass of an atom. Its unit is the unified atomic mass units (u). For atoms, the property of ma can be measured by very precise methods such as isotope dilution masses or electromagnetic traps; for molecules, it is usually calculated from molecular structure since few molecule species can be isolated and weighed with sufficient accuracy.
"," Is the atomic mass of a molecule always accurate? 
", False
260,"Since 1 January 2014, Chinese citizens have been eligible for tourist and business e-Visas to enter Turkey, following a relaxation of visa requirements announced in April 2013. The electronic visa can be obtained through the website of the Ministry of Foreign Affairs 
"," Can chinese people get an e-visa for turkey? 
", True
261,"Taking Lives is a 2004 American psychological thriller film starring Angelina Jolie and Ethan Hawke. The film was directed by D. J. Caruso from a screenplay written by Michael Brandt, Derek Haas, and Jim Kouf based on the novel of the same name by Michael Pye.[4][5] It follows an FBI profiler who has to track down a serial killer who takes on the identities of his victims
"," Is 'Taking Lives' a book? 
",  False
262,"
The following is a list of Attack on Titan episodes. The first season aired between April and September 2013, the second season aired between April and June 2017, and the third season will air in 2018. 
"," Will the third season of Attack on Titan air in 2019? 
", False
263,"The United States Constitution grants each state voting representation in the House of Representatives and the Senate. The District of Columbia, however, is not a state and therefore does not have voting representation in Congress. D.C.'s lack of voting representation has been an issue since its founding; residents cannot vote for president or elect a Voting member to the House of Representatives or Senate. 
"," Is it true that people who live in the District of Columbia can vote for president? 
", False
264,"The War of 1812 was a conflict fought between the United States and its allies, and the United Kingdom of Great Britain and Ireland and her dependent colonies in North America. The conflict began when the US declared war on June 18, 1812, citing various grievances with British maritime policies.
"," 
The War of 1812 was fought by the United States against Canada. 
", False
265,"
Cocktail sauce is a condiment made from ketchup or chili sauce, horseradish, Worcestershire sauce, and other seasonings. It is typically used as a dip for shrimp or other seafood. 
"," Is cocktail sauce typically used as a dip for shrimp? 
", True
266,"State Center is a city in Marshall County, Iowa, United States. The population was 1,194 at the 2010 census. It is part of the Des Moines–West Des Moines Metropolitan Statistical Area.
"," Is State Center located in Polk county? 
", False
267,"The Canadian Tulip Festival is an annual event that takes place in Ottawa, Canada's capital city. The festival celebrates the tulip, which is the national flower of Canada. It is held every May inOttawa's downtown core and features a variety of events such as concerts, parades, and displays of tulips.
"," 
Is the Canadian Tulip Festival held annually? 
", True
268,"The United States Open Championship, commonly known as the U.S. Open, is the annual open national championship of golf in the United States. It is the third of the four major championships in golf, and it is on the official schedule of both men's and women's professional golf tours (PGA Tour and LPGA Tour).
"," 
Is The US Open a Major Golf Tournament? 
", True
269,"Peter and the Wolf is a composition by Sergei Prokofiev. The story tells of young Peter, who lives with his grandfather behind the house in which live three other families: Sasha (a boy), Volochka (a cat) and Ivan Tsarevich, a duck. One day, when everyone but Peter and Grandfather are away from home, a wolf comes out of the forest...
"," Is 'Peter and the Wolf' a book or movie? 
", False
270,"Boost Mobile is a wireless telecommunications brand used by two independent companies in Australia and the United States. Boost Mobile was originally founded in 2000 by Peter Adderton in Australia. In an agreement with Sprint Corporation, iPCS acquired the rights to use the Boost name from Nextel Communications for $100 million USD on June 30, 2007
"," Is Boost Mobile only available in the United States? 
", False
271,"The Twenty-sixth Amendment (Amendment XXVI) to the United States Constitution prohibits the states and the federal government from using age as a reason for denying the right to vote to citizens of the United States who are at least eighteen years old. The amendment was adopted on July 1, 1971.
"," Was this amendment ratified in 1971? 
", True
272,"The fifth season of the American television series Orange Is the New Black premiered on Netflix on June 9, 2017, at 12:00 am PST in multiple countries. It consists of thirteen episodes, each running approximately 55 minutes in length. The series is based on Piper Kerman's memoir, Orange Is the New Black: My Year in a Women's Prison (2010), about her experiences at FCI Danbury, a minimum-security federal prison. 
"," 
Is 'Orange Is The New Black' based off of a true story?
"," 
True"
273,"Ground squirrels are members of the squirrel family, including chipmunks, marmots (woodchucks), flying squirrels, and prairie dogs. They tend to be small to medium-sized rodents with short legs and round bodies covered in fur. Most species inhabit dry areas with near brushland or grassland habitats; some live in wooded areas while others prefer rocky hillsides. 
"," Do ground Squirrels have furry tails? 
", False
274,"The fifth season of Degrassi: The Next Generation commenced airing in Canada on July 11, 2005 and ended on April 4, 2006. This was the first season to be aired on CTV's secondary A-Channel system before switching over to MuchMusic for the remainder of the series' run due to financial issues with Astral Media (now Bell Media).
"," 
Did this season air on MuchMusic?
"," 
False"
275,"The Surface Pro 4 is the fourth-generation Surface-series 2-in-1 detachable, designed and manufactured by Microsoft. Announced alongside the Surface Book in October 2015 at a media event in New York City, it was released on November 12th of that year to mixed but generally positive reception. 
"," The surface pro 4 was announced with the surface book?
", True
276,"The adaptive immune system, also known as the acquired immune system or, more rarely, as the specific immune system,[1][2] is a subsystem of the overall immune system that is composed of highly specialized cells and processes that eliminate pathogens or prevent their growth.[3]:11 The main function of the adaptive immune system is to mediate protection against infections. It develops throughout an individual's lifetime in response to antigens. 
"," Does the adative immunity develop over one's lifetime? 
", True
277,"Penn Foster High School is a regionally and nationally accredited online high school that offers both diploma and career pathways. The curriculum is self-paced, which means students can complete coursework at their own pace and on their own schedule. Students have the flexibility to study anytime, anywhere they have an internet connection. 
"," Does Penn Foster High School offer a GED? 
", False
278,"When you pucker, the muscles in your face contract and draw your lips inward. This can be an involuntary response to something sour or bitter — or a voluntary one, like when you give someone a kiss.
"," 
Does puckering always involve kissing? 
", False
279,"A tsunami is a series of waves usually caused by an earthquake that occurs underwater. Tsunamis can cause extensive damage to coastal areas when they make landfall. The British Isles are not immune to this threat, as evidenced by the destructive tsunamis that have occurred there in the past. 
"," Have there been any tsunamis in the British Isles? 
", True
280,"The United States–Colombia Free Trade Agreement is a free trade agreement between the United States and Colombia signed on November 22, 2006. The treaty was ratified by the U.S. Congress on October 12, 2011 with Implementing legislation (H.R 3078) and went into effect two months later on May 15, 2012
"," Was the treaty ratified by congress? 
", True
281,"The University of Maryland University College (UMUC) is a public university located in Adelphi, Maryland in the United States. UMUC offers classes and degree programs online and at locations throughout the world.
"," 
Is UMUC a private or public university? 
", Public
282,"The Mountain Time Zone of North America covers the time in certain areas of Canada, the United States, Mexico and Central America when it is standard time all year round. These areas include most of the states of Arizona and New Mexico; Colorado; parts or all four corners region (the southeastern corner of Idaho, southwestern corner of Montana, northeastern corner Wyoming and northwesternmost tip Utah); as well as small portions adjacent to these states. 
"," Does mountain time zone cover only part or all four corners region? 
", False
283,"The smoking age is the minimum legal age required to purchase tobacco products. In many countries, it is 18 years old. 
"," Is the smoking age 21 in the United States? 
", False
284,"Mammals are any vertebrates within the class Mammalia, a clade of endothermic amniotes distinguished from reptiles (including birds) by the possession of a neocortex (a region of the brain), hair, three middle ear bones, and mammary glands. Females of all mammal species nurse their young with milk, secreted from the mammary glands.
"," 
All mammals have hair. 
", True
285,"Lusia Harris (born February 12, 1952) is an American former women's basketball player. She played for Delta State University and was inducted into the Women's Basketball Hall of Fame in 1999.
"," 
Is Lusia Harris a former women's basketball player? 
", True
286,"Too Close to Home is an American television drama series that premiered on TLC on August 8, 2016. The first season consisted of eight episodes. Production for a second season began in late September 2016 and the season premiered on January 4, 2017.[1]
On November 15, 2017, it was announced that TLC had cancelled the series after two seasons.[2]
"," 
Was Too Close to Home cancelled after one or two seasons? 
", Two
287,"Nuclear propulsion is a method of using radioactive decay to generate heat, which in turn is used to produce steam and drive a turbine. This type of power can be used for many purposes, including propelling vehicles such as ships and submarines. 
"," Does nuclear propulsion use radioactive decay? 
", True
288,"The Civil Rights Act of 1957 was the first civil rights legislation enacted by Congress since Reconstruction. It created the Civil Rights Commission (later absorbed into the Equal Employment Opportunity Commission) and empowered federal prosecutors to enforce desegregation of public accommodations and authorized voting registrars to administer literacy tests in order to deny ballot access to illiterate voters. The bill also established penalties for interfering with a person's right to vote, made it a federal crime to attempt or conspire to deprive anyone of their civil rights, and strengthened protections against racial violence. 
"," Did this act make it illegal for someone interfere with another person's right ot vote? 
", True
289,"The politics of Italy take place in a framework of a parliamentary, representative democratic republic, whereby the Prime Minister is the head of government, and of a pluriform multi-party system. Executive power is exercised by the Council of Ministers, which is led by the Prime Minister and responsible to Parliament. Legislative power is vested in both houses (the Chamber of Deputies being superior) with Parliamentary approval required for some laws especially those concerning finances and elections taking effect. The judiciary is independent from executive or legislative branches but integrated into an overall legal system governed by state laws instead than case law as it happens in common law countries like UK or USA..
"," 
In Italy's political system, does executive branch have more power than judicial branch?
", False
290,"AS/NZS 3112 is the Australian and New Zealand Wiring Rules. The standard specifies requirements for the selection and erection of electrical equipment, and the design and installation of wiring systems.
"," Does AS/NZS 3112 apply to both Australia and New Zealand? 
", True
291,"Gone with the Wind is a 1939 American epic historical romance film adapted from Margaret Mitchell's novel of the same name. The film was produced by David O. Selznick of Selznick International Pictures and directed by Victor Fleming. Set in the American South against the backdrop of the Civil War and Reconstruction era, Gone with the Wind tells an intimate story focused on Scarlett O'Hara, a young white girl from Georgia who discovers her purpose in life through her relationships with two men: Ashley Wilkes, whom she loves but cannot have; and Rhett Butler, whose unapologetic pursuit of Scarlett knows no bounds—and results in one of cinema’s most famous last lines.
"," 
Is ""Gone With The Wind"" set during World War II?
", False
292,"A glucogenic amino acid is an amino acid that can be converted into glucose through glycogenesis. This occurs via the conversion of the amino group to pyruvate, which then enters glycolysis and is eventually turned into glucose. Glucogenic amino acids are found in a variety of foods, including meats, poultry, fish, nuts, and legumes. 
"," Is glycogen present in all glucogenic amino acids? 
", False
293,"Dr. Richard Webber is a fictional character from the medical drama television seriesGrey's Anatomy, which airs on the American Broadcasting Company (ABC) in the United States. The character was created by series' producer Shonda Rhimes and is portrayed by actor James Pickens Jr.. He made his first appearance in the show's pilot episode, ""A Hard Day's Night"", which aired on March 27, 2005
"," 
Is Dr. Richard Weber a real person? 
", False
294,"The periodic table is a tabular arrangement of the chemical elements, ordered by their atomic number, electron configurations, and recurring chemical properties. The structure of the table shows periodic trends. The seven rows of the table (the periods) are numbered 1 to 7 from top to bottom; Going left to right across each period results in elements with increasingly higher atomic numbers such that within each row all element have similar valence electrons structures 
"," Does going down a group result in increasingatomic number? 
", False
295,"Rock 'n' Roller Coaster Starring Aerosmith is an indoor roller coaster at Disney's Hollywood Studios. The ride takes guests on a high-speed tour of Los Angeles in the dark, accompanied by music from American rock band Aerosmith. It is one of the park's most popular attractions, and routinely has wait times exceeding two hours. 
"," Is Rock 'n' Roller Coaster Starring Aerosmith located indoors?
", True
296,"Hot tub folliculitis is an infection of the hair follicles caused by bacteria. The condition is also known as Pseudomonas dermatitis or hot tub rash. It usually occurs in people who have been swimming in contaminated water, such as a hot tub or pool. Symptoms include red bumps on the skin, itching, and burning. Hot tub folliculitis is not contagious and can be treated with antibiotics. 
"," Is hot tub folliculitis contagious? 
", False
297,"Jarvis Christian College is a historically black college affiliated with the Disciples of Christ, located in Hawkins, Texas. The school was founded in 1912 by Bertie Mae Burroughs and Annie E. Merritt on land donated by Lige Dickson for educational purposes. It became Jarvis Christian Academy in 1915 when it added high school courses and changed its name to Jarvis Christian College after receiving accreditation from the Southern Association of Colleges and Schools as a junior college in 1949
"," Is Jarvis christian college accredited? 
", True
298,"Diary of a Wimpy Kid is a series of fiction books written by American author and cartoonist Jeff Kinney. All the main books are the journals of the main character, Greg Heffley. The series began in 2007 with Diary of a Wimpy Kid, and as of October 2019, thirteen volumes have been released.
"," 
Is Diary of a Wimpy kid based on true story?
", False
299,"Ice Age: The Meltdown is a 2006 American computer-animated comedy adventure film directed by Carlos Saldanha and produced by Blue Sky Studios. It is the sequel to Ice Age (2002) and the second installment in the franchise. The plot follows Manny, Diego, Sid, Ellie, Crash and Eddie as they try to return a human baby back to its father while escaping flooding due to global warming caused by melting ice caps. 
"," Is 'Ice Age 2' better than 'Ice Age 1'?
", False
300,"Service animals are defined as dogs that are individually trained to do work or perform tasks for people with disabilities. Examples of such work or tasks include guiding people who are blind, alerting people who are deaf, pulling a wheelchair, alerting and protecting a person who is having a seizure, reminding a person with mental illness to take prescribed medications, calming a person with Post Traumatic Stress Disorder (PTSD) during an anxiety attack, or performing other duties. Service animals are working animals not pets. The work or task a dog has been trained to provide must be directly related to the person’s disability. Dogs whose sole function is to provide comfort or emotional support do not qualify as service animals under the ADA 
"," Is petting allowed on service animal?
", False
301,"The 2018 United States elections will be held, partly on Tuesday, November 6, 2018 (the general election), as well as in some states and territories on other dates. These midterm elections will take place in the middle of Republican President Donald Trump's term. All 435 seats in the United States House of Representatives and 34 of the 100 seats in the United States Senate will be contested. 39 state and territorial governorships and numerous other state and local elections will also be contested.
"," 
Will all 435 seats in the U.S House of Representatives be up for grabs during these midterms? 
"," 
True"
302,"Mario is a Italian plumber who lives in Mushroom Kingdom. He has appeared in over 200 video games since his creation. His first appearance was in the Donkey Kong arcade game released in 1981.
"," 
Is Mario's home country Italy?
", True
303,"Perth (/ˈpɜːrθ/) is the capital and largest city of Western Australia. It is the fourth-most populous city in Australia, with a population of 2.07 million living in Greater Perth.[1] The first areas settled were on the Swan River at Guildford, with the city's central business district and port (Fremantle) both later founded downriver.
"," 
Is Perth located on the Swan River? 
", True
304,"The black panther (Panthera pardus) is a large felid of the subfamily Felinae native to parts of Africa, the Middle East, and South Asia. The species was first described by Linnaeus in 1758 as Felis leo; it underwent numerous nomenclatural changes before its recognition as belonging to a distinct genus Panthera. Black panthers in both Asian and African regions are typically melanistic cats with very dark brown or nearly black fur. Melanism is caused by overproduction of melanin which alters their pigmentation but does not affect eyesight or hearing ability nor change their behavioral patterns compared to spotted tawny lions
"," 
Is there such thing as a white panther?
", False
305,"Nose-picking, also known by its medical name rhinotillexomania,[1][2] is the habitual act of extracting mucus and other debris from one's nose. It is a common habit among children,[3][4] but can persist into adulthood.[5][6] Nose-picking has been associated with mental disorders such as obsessive–compulsive disorder[7] and body dysmorphic disorder.[8
"," 
Is nose picking a common habit? 
", True
306,"Juice Ortiz is an American professional wrestler currently signed to WWE, performing on the Raw brand under the ring name Angel Garza. He is a former NXT Cruiserweight Champion and one-time NXT Tag Team Champion.
"," Is Juice Ortiz an American? 
", True
307,"The University of Lahore (UOL) (Urdu: یونیورسٹی آف لاہور‎), is a private university located in Lahore, Punjab, Pakistan. Founded in 1999 by the Pakistan Education Foundation, UOL is one of the largest institutions by enrollment with over 30,000 enrolled students and 1,370 faculty members as of 2017 The main campus spans an area more than 700 acres while its total enrolment stands at approximately 32000 including 26000 on-campus students.
"," Is University of lahore a public or private institution ? 
", Private
308,"Saved by the Bell is an American television sitcom that aired on NBC from 1989 to 1993. A reboot of the series premiered on Peacock on November 25, 2020. The original series follows a group of high school students and their principal at Bayside High School in Palisades, California. 
"," Is Saved by the Bell set in California? 
", True
309,"The olive, known by the botanical name Olea europaea, meaning ""European olive"", is a species of small tree in the family Oleaceae, found in Mediterranean countries from Spain to the Near East. The wild olive is native to coastal areas of western Asia and northern Africa between 10° and 50° latitude north; its range extends eastward across central Asia as far as Kyrgyzstan. 
"," Is Olive originally come from Europe?
", True
310,"The Major League Baseball (MLB) regular season schedule typically consists of 162 games for each of the 30 teams in the American League and National League, played over approximately six months—a total of 2,430 games, plus a handful of special interleague contests. The schedule is designed so that series between divisional opponents are generally spaced equally throughout the season; usually there are three or four such series per team every year.
"," 
Is the MLB regular season schedule designed so that all teams play an equal number of home games?
", False
311,"
Earnings before interest and taxes (EBIT) is a measure of a company's profitability that includes all expenses except for tax and interest. 

"," Does EBIT include all expenses? 
", True
312,"James J. Braddock (1905-1974) was an American boxer who was nicknamed the ""Cinderella Man"" after rising from a poor and unsuccessful boxing career to become heavyweight champion of the world between 1935 and 1937.
"," Did James J. Braddock have a successful boxing career? 
", No
313,"Éowyn (/ˈeɪoʊwᵻn/ AY-oh-win) is a fictional character in J. R. R. Tolkien's Middle-earth legendarium, appearing in his bestseller The Lord of the Rings and related works such as Unfinished Tales and The Silmarillion. She appears as a supporting character in both books (and also plays an important role at the end of Peter Jackson's film adaptation of Return of the King). 
"," Is Éowyn a major character in ""The Lord of the Rings""? 
", False
314,"In the United States, grounds for divorce are determined at the state level. Most states subscribe to a ""no-fault"" policy, meaning that grounds are not required in order to obtain a divorce. Some jurisdictions make available fault-based and no-fault options, while others only recognize no-fault divorces. Fault based claims may include abuse (physical or emotional), adultery, desertion (for a period of time), drug addiction/alcoholism, mental illness or disease which makes it difficult for spouses to live together

"," Is there such thing as a no-fault divorce in the US? 
", True
315,"Bungo Stray Dogs (Japanese: 文豪ストレイドッグス, Hepburn: Bungō Sutorei Doggusu) is a Japanese manga series written by Kafka Asagiri and illustrated by Sango Harukawa. The story follows the members of an organization known as the ""Armed Detective Agency"" which solves cases involving supernatural powers.
"," Does the Armed Detective Agency only solve cases involving supernatural powers? 
", True
316,"Lark Rise to Candleford is a British television series, adapted by Bill Gallagher from Flora Thompson's trilogy of semi-autobiographical novels about Edwardian rural life in Oxfordshire and Buckinghamshire. The first episode was broadcast on BBC One on Sunday, 13 January 2008 at 8:00 pm.[1] It ran for four series until 25 December 2011.
"," 
Is Lark Rise to Candleford based off of true events? 
", False
317,"Beijing, sometimes romanized as Peking, is the capital of China and one of its four municipalities. The city proper covers an area of 16,410.5 square kilometres (6,344.9 sq mi) with a population estimated at 21,707,000 in 2016.[1] It has served as the political center of China for much of the past eight centuries,[2][3] and was the largest city in East Asia by population before being surpassed by Shanghai between 1853[4][5] and 1858.[6][7] Beijing is governed as a direct-controlled municipality under 
the national government with 16 urban districts.(Wikipedia contributors). ", Is Beijing larger than Shanghai? , True
318,"The flag of New Zealand is a dark blue ensign with the Union Flag in the canton, and four red stars with white borders to the right. The stars' pattern represents the asterism within the constellation of Crux, Southern Cross.
"," 
Does New Zealand have a official flag? 
"," 
True"
319,"The Ivy League is a collegiate athletic conference comprising eight private research universities in the Northeastern United States. The term Ivy League has connotations of academic excellence, selectivity in admissions, and social elitism. 
"," Does membership in the Ivy League guarantee academic excellence? 
", False
320,"Basque (/bæsk, bɑːsk/; Euskara [eus̺ˈkaɾa]) is a language spoken in the Basque Country and Navarre. Linguistically, Basque is unrelated to the other languages of Europe and indeed appears to be a language isolate: it belongs neither to the Indo-European family nor any known branch within it. The closest relative among non–Basque languages are two Aquitanian dialects (Gascony and Labourd) which share about one third of their vocabulary with standard Basque.[4]

"," does basque belong to indo european family? 
", False
321,"The Chelsea Flower Show is a garden show held for five days in May by the Royal Horticultural Society (RHS) in the grounds of the Royal Hospital Chelsea, London. It is one of gardening's most prestigious annual events and perhaps best known to television viewers around world who witness its coverage annually
"," Is the event open to public? 
", False
322,"Victoria's Secret is an American retailer of women's wear, lingerie and beauty products. It is the largest division of L Brands (formerly Limited Brands) and sells its products through retail stores, online, catalogue and its TV shopping channel. 
"," Does Victoria's Secret sell only lingerie? 
", False
323,"Romaine lettuce (also known as cos lettuce) is a type of lettuce that grows in tall heads with long, crisp leaves. It has a slightly bitter taste and is often used in salads or as a garnish.
"," 
Is romaine lettuce the same as iceberg lettuce? 
", False
324,"Mount Whitney is the tallest mountain in California, as well as the highest summit in the contiguous United States and North America. With an elevation of 14,505 feet (4,421 m), it is also the second-tallest peak in all of North America after Denali. The mountain lies on a ridge extending north from near Lone Pine Peak; its southernmost spur starts just south of Mount Williamson at an elevation lower than that peak's false summit which diverts some climbers heading for Whitney's main summit.
"," 
Is Mount Whitney taller than Mount Everest?
"," 
False"
325,"The fibula or calf bone is a long, thin bone that runs parallel to the tibia in the lower leg. It articulates with both the tibia and talus bones of the ankle joint and helps provide stability to this joints as well as strength for walking and running. The term ""fibula"" comes from Latin word meaning ""clasp"" or ""brooch"", which reflects its shape.
"," Does Fibula articulate with only Talus? 
", False
326,"The German reunification (German: Deutsche Wiedervereinigung) was the process in 1990 in which the German Democratic Republic became part of the Federal Republic of Germany to form the unified nation state of Germany.
"," 
Was East and West Germany reunited as one country in 1990?
", True
327,"The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the true story of David Vetter, who lived much of his short life inside an isolation chamber because he had no immunity to diseases. The film stars John Travolta as Vetter and was directed by Randal Kleiser. 
"," Is 'The Boy in the Plastic Bubble' based on a true story? 
", True
328,"South Korea has a visa waiver agreement with 68 countries and allows nationals of those countries to enter the country without a visa for stays of up to 90 days. Nationals of another 28 countries are eligible for 60-day or 30-day visa-free entry into South Korea under certain conditions. All other foreign nationals must have a valid passport and obtain a Korean visa from their nearest Korean diplomatic mission before entering the country
"," 
Do all foreign nationals need to have a valid passport? 
", True
329,"Lay's is the brand name for a number of potato chip varieties as well as the name of the company that founded the chip brand in 1932. Lay's has been owned by PepsiCo since 1965. The primary competitors of Lay's are Pringles and Ruffles brands.
"," 
Are Lay's chips gluten free? 
", False
330,"The Public Provident Fund (PPF) is a long-term savings scheme introduced by the National Savings Institute of the Ministry of Finance in 1968. It is a retirement planning tool and offers income tax benefits under Section 80C. The interest earned on PPF deposits are exempt from taxes. 
"," Is interest earned on PPF deposit taxable? 
", False
331,"
Ender's Game is a science fiction novel by American author Orson Scott Card. The book was first published in 1985 and has been adapted into several different formats, including a feature film, video games, and comic books. The story follows Andrew ""Ender"" Wiggin, a child prodigy who is sent to an elite military school in space to prepare for an impending alien invasion. 
"," Is Ender's Game the name of a series or just one book? 
", Just one book
332,"The umbilical arteries are two arteries that arise from the internal iliac arteries and pass through the pelvis to enter the Umbilicus. They supply deoxygenated blood to the fetus during pregnancy.
"," 
Do the umbilical arteries carry oxygen-rich blood?
", False
333,"Pete Campbell is a character on the AMC television drama Mad Men. He is portrayed by Vincent Kartheiser, and has appeared in every episode of the series thus far. The character was created by Matthew Weiner. 
"," Is Pete Campbell from Madagascar? 
", False
334,"
There are a number of laws that govern photography, both in terms of the equipment used and the subjects photographed. For example, it is illegal to use a flash photograph inside some public places such as museums or art galleries. It is also generally illegal to take photographs of people without their permission, especially if those photos will be used for commercial purposes. 

"," Is it legal to take photographs of people without their permission? 
", False
335,"The Magicians is an American television series that airs on Syfy and is based on the novel of the same name by Lev Grossman. The series follows a group of twenty-somethings who, as they discover their magical abilities, are thrust into a world where the stakes are high and real life isn't what it seems. 
"," Is The Magicians a book?
", True
336,"When Calls the Heart is a Canadian-American television drama series, inspired by Janette Oke's book of the same name from her Canadian West Series. The series began airing on the Hallmark Channel in the United States on January 11, 2014, and has since aired six seasons. 
"," Is When Calls The Heart a American TV show? 
", True
337,"The House of Night is a series of young adult fantasy novels by American author P. C. Cast and her daughter Kristin Cast. The series follows Zoey Redbird, a sixteen-year-old girl who has just become a ""fledgling vampyre"" and is required to attend the House of Night boarding school in Tulsa, Oklahoma.
"," Is the House of Night series appropriate for children? 
", False
